Baseline: (shortest-paths with test set without permutation)
num_nodes_min_max = (8, 17)
# 00042, T 531.8, Ltr 0.1653, Lge 0.1396, Ctr 0.9914, Str 0.5000, Cge 0.9914, Sge 0.5000
# 00043, T 550.5, Ltr 0.1870, Lge 0.1543, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00044, T 569.7, Ltr 0.1934, Lge 0.1426, Ctr 0.9770, Str 0.5000, Cge 1.0000, Sge 1.0000
# 00045, T 588.7, Ltr 0.1739, Lge 0.1379, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00046, T 607.9, Ltr 0.1034, Lge 0.0897, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00047, T 627.6, Ltr 0.1024, Lge 0.0875, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00048, T 647.6, Ltr 0.1069, Lge 0.0898, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00049, T 668.0, Ltr 0.1300, Lge 0.1059, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00050, T 694.0, Ltr 0.1713, Lge 0.1382, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00051, T 715.1, Ltr 0.1090, Lge 0.0922, Ctr 0.9944, Str 0.5000, Cge 1.0000, Sge 1.0000
# 00052, T 736.7, Ltr 0.1558, Lge 0.1289, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00053, T 758.7, Ltr 0.1124, Lge 0.0971, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00054, T 781.4, Ltr 0.1351, Lge 0.1133, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00055, T 804.3, Ltr 0.0955, Lge 0.0828, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00056, T 827.4, Ltr 0.1035, Lge 0.0887, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
# 00057, T 851.4, Ltr 0.0633, Lge 0.0582, Ctr 1.0000, Str 1.0000, Cge 1.0000, Sge 1.0000
